transaction_status,dollarsobligated,maj_fund_agency_cat,contractingofficeid,fundingrequestingofficeid,fundedbyforeignentity,signeddate,effectivedate,currentcompletiondate,ultimatecompletiondate,lastdatetoorder,descriptionofcontractrequirement,vendorname,vendoralternatename,streetaddress,streetaddress2,streetaddress3,city,state,zipcode,vendorcountrycode,vendor_state_code,congressionaldistrict,dunsnumber,parentdunsnumber,phoneno,faxno,registrationdate,renewaldate,mod_parent,statecode,placeofperformancecity,pop_state_code,placeofperformancecountrycode,placeofperformancezipcode,pop_cd,placeofperformancecongressionaldistrict,productorservicecode,fiscal_year,extentcompeted,reasonnotcompeted,numberofoffersreceived,solicitationprocedures,typeofsetaside,localareasetaside,numberofemployees,annualrevenue,issbacertifiedsmalldisadvantagedbusiness,educationalinstitutionflag,womenownedflag,veteranownedflag,minorityownedbusinessflag,tribalgovernmentflag,ishispanicservicinginstitution,iswomenownedsmallbusiness,isecondisadvwomenownedsmallbusiness,isjointventurewomenownedsmallbusiness,isjointventureecondisadvwomenownedsmallbusiness,walshhealyact,servicecontractact,davisbaconact,clingercohenact,last_modified_date
Active,-3668.62,"1200: AGRICULTURE, DEPARTMENT OF",4756: CHEROKEE NATIONAL FOREST,4756: CHEROKEE NATIONAL FOREST,,11/13/2014,11/13/2014,6/30/2015,6/30/2015,,IGF::OT::IGF MOD TO CLOSE SOIL NAILING SERVICES FOR FSR#209 BRUSH CREEK ROAD,"SOIL NAIL LAUNCHER, INC.",,543 31 RD,,,GRAND JUNCTION,CO,815045772,UNITED STATES,CO,3,137542788,137542788,9702106170,9702457737,08/12/2005,06/19/2009,SOIL NAIL LAUNCHER  INC.,TN: TENNESSEE,UNICOI,TN: TENNESSEE,USA: UNITED STATES,376926504,TN01,TN01,Z2LB: REPAIR OR ALTERATION OF HIGHWAYS/ROADS/STREETS/BRIDGES/RAILWAYS,2015,A: FULL AND OPEN COMPETITION,,1,MAFO: SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NONE: NO SET ASIDE USED.,N,8,5000000,Y,N,N,N,N,N,N,N,N,N,N,X: Not Applicable,N,N,N,11/13/2014
Active,9541.16,"3600: VETERANS AFFAIRS, DEPARTMENT OF",00257: 257-NETWORK CONTRACT OFFICE 17,00671: 671-SAN ANTONIO,,11/12/2014,11/12/2014,11/28/2014,11/28/2014,,"IGF::OT::IGF, PREVENTIVE MAINTENACE FOR SPECTRANETICS LASER EXIMER MODEL CVX-300","SPECTRANETICS CORPORATION, THE",,9965 FEDERAL DR,,,COLORADO SPRINGS,CO,809213617,UNITED STATES,CO,5,151047370,151047370,7196338333,7194472091,11/15/2001,06/27/2015,SPECTRANETICS CORPORATION,TX: TEXAS,SAN ANTONIO,TX: TEXAS,USA: UNITED STATES,782294404,TX21,TX21,"J065: MAINT/REPAIR/REBUILD OF EQUIPMENT- MEDICAL, DENTAL, AND VETERINARY EQUIPMENT AND SUPPLIES",2015,C: NOT COMPETED,ONE: ONLY ONE SOURCE - OTHER ,1,SSS: ONLY ONE SOURCE,NONE: NO SET ASIDE USED.,N,600,142000000,N,N,N,N,N,N,N,N,N,N,N,N: No,N,X,N,11/18/2014
Active,2380.65,"1500: JUSTICE, DEPARTMENT OF","40303: ENGLEWOOD, FCI","40303: ENGLEWOOD, FCI",,11/7/2014,11/7/2014,12/7/2014,12/7/2014,,WEEKLY PRODUCE ORDER,"AMERICAN PRODUCE, LLC",,5151 BANNOCK ST STE 3,,,DENVER,CO,802161846,UNITED STATES,CO,1,40759438,40759438,3032910188,3032910219,08/11/2003,05/08/2015,AMERICAN PRODUCE  LLC,CO: COLORADO,DENVER,CO: COLORADO,USA: UNITED STATES,802161846,CO01,CO01,8915: FRUITS AND VEGETABLES,2015,G: NOT COMPETED UNDER SAP,MPT: MICRO PURCHASE THRESHOLD,1,SP1: SIMPLIFIED ACQUISITION,NONE: NO SET ASIDE USED.,N,47,18000000,N,N,N,N,N,N,N,N,N,N,N,X: Not Applicable,X,X,N,11/7/2014
Active,0,"1200: AGRICULTURE, DEPARTMENT OF",82AT: ARAPAHOE-ROOSEVELT,82AT: ARAPAHOE-ROOSEVELT,,10/15/2014,10/15/2014,7/31/2015,7/31/2015,,IGF::OT::IGF KELLY FLATS TO  - AR FLOOD REPAIR,HYDRO CONSTRUCTION COMPANY INC.,,301 E LINCOLN AVE,,,FORT COLLINS,CO,805242505,UNITED STATES,CO,2,78346590,78346590,9702252211,9702252991,03/08/2004,10/16/2013,HYDRO CONSTRUCTION COMPANY INC.,CO: COLORADO,FORT COLLINS,CO: COLORADO,USA: UNITED STATES,805261000,CO02,CO02,Z1PZ: MAINTENANCE OF OTHER NON-BUILDING FACILITIES,2015,D: FULL AND OPEN COMPETITION AFTER EXCLUSION OF SO,,5,MAFO: SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,SBA: SMALL BUSINESS SET ASIDE - TOTAL,N,37,20163872,N,N,N,N,N,N,N,N,N,N,N,X: Not Applicable,X,Y,N,11/7/2014
Active,111000,"6900: TRANSPORTATION, DEPARTMENT OF",00061: OFFICE OF ACQUISITION AND GRANTS MANAGEMENT,00061: OFFICE OF ACQUISITION AND GRANTS MANAGEMENT,,11/12/2014,11/12/2014,6/3/2017,6/3/2017,,"IGF::OT::IGF  COURSE: FHWA-NHI-135041  THIS MODIFICATION IS ISSUED TO INCREASE THE AMOUNT OF FUNDS OBLIGATED TO THE TASK ORDER BY $111,000.",AYRES ASSOCIATES INC.,,3665 JFK PKWY BLDG 2 STE 200,,,FORT COLLINS,CO,805253152,UNITED STATES,CO,2,859652992,62836309,7158317657,7158317500,10/18/2001,01/19/2012,AYRES ASSOCIATES INC.,CO: COLORADO,FORT COLLINS,CO: COLORADO,USA: UNITED STATES,805253152,CO02,CO02,U008: EDUCATION/TRAINING- TRAINING/CURRICULUM DEVELOPMENT,2015,A: FULL AND OPEN COMPETITION,,2,MAFO: SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NONE: NO SET ASIDE USED.,N,295,42455000,N,N,N,N,N,N,N,N,N,N,N,N: No,N,N,N,11/12/2014
Active,0,"2000: TREASURY, DEPARTMENT OF THE",MIN005: DENVER,MIN005: DENVER,,10/20/2014,10/20/2014,10/31/2014,10/31/2014,,IGF::OT::IGF REPLACE PIPE ON COOLING TOWER #1,"BRACONIER PLUMBING & HEATING CO., INC.",,2626 S RARITAN CIR,,,ENGLEWOOD,CO,801101147,UNITED STATES,CO,1,58154279,58154279,3037778545,7208840114,04/04/2002,01/27/2015,BRACONIER PLUMBING & HEATING CO.  INC.,CO: COLORADO,DENVER,CO: COLORADO,USA: UNITED STATES,802042693,CO01,CO01,"J045: MAINT/REPAIR/REBUILD OF EQUIPMENT- PLUMBING, HEATING, AND WASTE DISPOSAL EQUIPMENT",2015,C: NOT COMPETED,URG: URGENCY ,1,SSS: ONLY ONE SOURCE,NONE: NO SET ASIDE USED.,N,85,31136792,N,N,N,N,N,N,N,N,N,N,N,X: Not Applicable,X,X,N,10/20/2014
Active,6209.4,"3600: VETERANS AFFAIRS, DEPARTMENT OF",00246: 246-NETWORK CONTRACTING OFFICE 6,00246: 246-NETWORK CONTRACTING OFFICE 6,,11/6/2014,11/6/2014,11/21/2014,11/21/2014,,LAB TEST FOR RESEARCH,"BLA ENTERPRISES, LLC",GREEN MOUNTAIN PHARMACEUTICALS,12860 W CEDAR DR STE 201,,,LAKEWOOD,CO,802281965,UNITED STATES,CO,7,965398584,965398584,3035898677,8664152923,01/02/2013,11/03/2015,BLA ENTERPRISES  LLC,CO: COLORADO,LAKEWOOD,CO: COLORADO,USA: UNITED STATES,802281965,CO07,CO07,6505: DRUGS AND BIOLOGICALS,2015,F: COMPETED UNDER SAP,,1,SP1: SIMPLIFIED ACQUISITION,SBA: SMALL BUSINESS SET ASIDE - TOTAL,N,4,300000,N,N,N,N,N,N,N,N,N,N,N,X: Not Applicable,X,X,N,11/6/2014
Active,10318.83,"3600: VETERANS AFFAIRS, DEPARTMENT OF",00261P: 261P-NETWORK CONTRACT OFFICE 21,00261P: 261P-NETWORK CONTRACT OFFICE 21,,10/9/2014,10/8/2014,11/7/2014,11/7/2014,,SURGICAL IMPLANT,BUFFALO SUPPLY INC,,1650 COAL CREEK DR STE A,,,LAFAYETTE,CO,800268867,UNITED STATES,CO,2,109070714,109070714,8003661812,8007679327,04/09/2002,09/17/2015,BUFFALO SUPPLY INC,CO: COLORADO,LAFAYETTE,CO: COLORADO,USA: UNITED STATES,800268867,CO02,CO02,"6515: MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",2015,C: NOT COMPETED,ONE: ONLY ONE SOURCE - OTHER ,1,SSS: ONLY ONE SOURCE,NONE: NO SET ASIDE USED.,N,20,31200167,N,N,N,N,N,N,N,N,N,N,N,N: No,N,N,N,10/9/2014
Active,1340,"2000: TREASURY, DEPARTMENT OF THE",MIN005: DENVER,MIN005: DENVER,,10/16/2014,10/16/2014,11/7/2014,11/7/2014,,FORK LIFT COVERS,R. F. S. INC.,,4935 ALLISON ST UNIT 7,,,ARVADA,CO,800024409,UNITED STATES,CO,7,73396830,73396830,3034231264,3034231267,02/26/2002,02/18/2015,R. F. S. INC.,CO: COLORADO,ARVADA,CO: COLORADO,USA: UNITED STATES,800024409,CO07,CO07,3830: TRUCK AND TRACTOR ATTACHMENTS,2015,G: NOT COMPETED UNDER SAP,MPT: MICRO PURCHASE THRESHOLD,1,SP1: SIMPLIFIED ACQUISITION,NONE: NO SET ASIDE USED.,N,6,2500000,Y,N,N,Y,N,N,N,N,N,N,N,X: Not Applicable,X,X,N,10/20/2014
Active,3500,"3600: VETERANS AFFAIRS, DEPARTMENT OF",00242: 242-NETWORK CONTRACT OFFICE 02,00242: 242-NETWORK CONTRACT OFFICE 02,,10/21/2014,10/21/2014,11/4/2014,11/4/2014,,COCHLEAR IMPLANT FOR VISN 2,COCHLEAR AMERICAS CORPORATION,,13059 PEAKVIEW AVE,,,CENTENNIAL,CO,801116511,UNITED STATES,CO,6,130866817,750551194,3032642307,3037929025,03/22/2002,05/07/2015,COCHLEAR LIMITED,CO: COLORADO,ENGLEWOOD,CO: COLORADO,USA: UNITED STATES,801116511,CO06,CO06,"6515: MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",2015,G: NOT COMPETED UNDER SAP,SP2: SAP NON-COMPETITION,1,SP1: SIMPLIFIED ACQUISITION,NONE: NO SET ASIDE USED.,N,2390,774000000,N,N,N,N,N,N,N,N,N,N,N,X: Not Applicable,X,X,N,10/21/2014
